Submitted Date and Time,Institution,Category,Program,Batch,Instructor,How would you rate the overall content of the session?,Were the topics covered relevant to your needs and expectations?,Rate the clarity and depth of the information provided.,How knowledgeable was the instructor about the subject matter?,How engaging was the instructor in delivering the content?,Rate the instructor's ability to answer questions and provide explanations.,How would you rate the overall organization and flow of the session?,Rate the activities/exercises conducted during the session to understand the concepts?,Rate the overall interaction and engagement opportunities during the session.,What did you like most about the session?,What areas do you think need improvement,Allotted To,Feedback
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,4,4,5,4,5,5,4,5,5,"engagement , case studies , real time data. AI tools demo",Nothing,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,4,1,4,5,5,5,4,5,4,Class excercise,Nothing specific,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,4,4,4,4,4,4,4,4,4,Handon experince,it will be nice if as prepration work tools were asked to be setup and to minimize gaps,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,5,5,5,5,5,5,5,5,5,Hand on data,While splitting the group observed voice is gone away. Looks there are some technical glitch,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,5,4,3,5,3,4,3,4,4,Hands On,Needs some more understanding may be as followup Prof Rishi can take one example and take this to the flow,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,3,3,2,4,3,4,2,3,3,Examples,To bring the basic learners on same platform.,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,"I am worried. Pl help me,vivekanand.76@gmail.com",,,,,,,,,,,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,5,5,5,5,5,5,5,4,5,Good Problems to try .,More hands on and everyone should get the presentation opportunity,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,5,5,5,5,5,5,5,5,5,Teaching Method of Prof Rishi,Nothing as of now.,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,3,3,3,4,4,4,3,3,3,Practical exercisese,I feel few topics are taking longer time than desired. There should be a balance in theory and practical.,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,5,4,4,5,5,5,5,5,5,GOOD,iT WAS GOOD,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,5,5,5,5,5,5,5,5,5,Lab cases,nothing,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,5,5,5,5,5,5,5,5,5,AM/LM pipeline,NA,,
Average,,,,,,4.37,4.19,4.22,4.59,4.44,4.56,4.3,4.41,4.41,4.39,,,
